age,job,marital,education,default,balance,housing,loan,subscribe
preold,management,married,tertiary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,entrepreneur,married,secondary,no,soso,yes,yes,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
middle,unknown,single,unknown,no,soso,no,no,no
middle,management,married,tertiary,no,soso,yes,no,no
young,management,single,tertiary,no,soso,yes,yes,no
middle,entrepreneur,divorced,tertiary,yes,soso,yes,no,no
preold,retired,married,primary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
young,admin.,single,secondary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
preold,technician,married,unknown,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
preold,retired,married,primary,no,soso,yes,no,no
preold,admin.,single,unknown,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
old,retired,married,primary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,yes,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,yes,no
young,services,married,secondary,no,soso,yes,no,no
middle,retired,married,primary,no,soso,yes,yes,no
middle,admin.,married,secondary,no,bad,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,entrepreneur,married,secondary,no,soso,yes,yes,no
preold,management,single,secondary,no,bad,yes,no,no
middle,technician,single,secondary,no,soso,yes,yes,no
preold,technician,married,secondary,no,soso,no,yes,no
preold,management,married,tertiary,no,soso,yes,no,no
old,admin.,married,secondary,no,soso,yes,yes,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,ok,yes,no,no
preold,technician,divorced,secondary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,bad,yes,no,no
preold,technician,married,secondary,no,bad,no,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
preold,management,married,secondary,no,soso,yes,no,no
old,blue-collar,married,unknown,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
preold,retired,married,unknown,no,soso,yes,no,no
middle,admin.,single,primary,no,bad,yes,no,no
preold,self-employed,married,tertiary,no,bad,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,technician,divorced,secondary,no,soso,no,no,no
young,management,single,tertiary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,management,divorced,tertiary,no,bad,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,admin.,single,secondary,no,bad,yes,no,no
young,technician,single,secondary,no,bad,yes,yes,no
middle,entrepreneur,single,tertiary,no,soso,no,yes,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,single,unknown,no,soso,yes,no,no
preold,services,married,primary,no,soso,yes,no,no
middle,admin.,married,tertiary,no,soso,yes,no,no
preold,technician,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
